Station ID#,Name,Basin,Catchment area (km2),Latitude,Longitude,Station elevation (m.a.s.l.),Start year,End year,Continuous permafrost (%),Discontinuous permafrost (%),Sporadic permafrost (%),Isolated permafrost (%),No permafrost (%),Primary permafrost type,Prior primary permafrost type
70016,Vozhega at Nazarovskaya,N. European Russia,1590.00,60.53,39.55,125.7,1955,1988,0,0,0,0,100,No permafrost,No permafrost
70023,Lekshma at Lyadiny,N. European Russia,321.00,61.57,38.28,150.9,1960,1988,0,0,0,0,100,No permafrost,No permafrost
70043,Kodina at Kodino,N. European Russia,1800.00,63.72,39.62,25,1954,2000,0,0,0,0,100,No permafrost,No permafrost
70047,Solza at Sukhie Porogy,N. European Russia,1190.00,64.38,39.4,77.4,1936,2000,0,0,0,0,100,No permafrost,No permafrost
70085,Sukhona at Raban'ga,N. European Russia,15500.00,59.43,40.22,105.7,1936,2002,0,0,0,0,100,No permafrost,No permafrost
70117,Kubena at Troitse-Yenal'skoye,N. European Russia,1110.00,60.55,40.42,146.5,1936,2000,0,0,0,0,100,No permafrost,No permafrost
70129,Ema at Novoye,N. European Russia,179.00,59.12,39.67,134.2,1946,2000,0,0,0,0,100,No permafrost,No permafrost
70146,Uphtyuga at Koleno,N. European Russia,2360.00,60.38,44.13,87.7,1953,1988,0,0,0,0,100,No permafrost,No permafrost
70209,Voch at Verkhnaya Voch,N. European Russia,1600.00,61.13,54.2,114.2,1960,2000,0,0,0,0,100,No permafrost,No permafrost
70231,Egul at Chukhlom,N. European Russia,123.00,61.25,50.1,104,1946,2000,0,0,0,0,100,No permafrost,No permafrost
70238,Vim at Veslyana,N. European Russia,19100.00,62.98,50.88,80.9,1936,2002,0,0,0,0,100,No permafrost,No permafrost
70302,Lel' at Zeleninskaya,N. European Russia,2240.00,62.25,42.67,31,1936,2000,0,0,0,0,100,No permafrost,No permafrost
70309,Yemtsa at Most,N. European Russia,1860.00,62.97,40.32,66.6,1928,2000,0,0,0,0,100,No permafrost,No permafrost
70334,Pinega at Kulogory,N. European Russia,36700.00,64.72,43.48,12.8,1936,2002,0,0,0,0,100,No permafrost,
70363,Zolotitsa at Verkhnaya Zolotitsa,N. European Russia,1840.00,65.67,40.42,-0.2,1957,1988,0,0,0,0,100,No permafrost,No permafrost
70366,Kuloy at Kuloy,N. European Russia,3040.00,64.97,43.52,11.2,1936,1991,0,0,0,0,100,No permafrost,No permafrost
70401,Peza at Igumnovo,N. European Russia,11893.00,65.82,45.1,11.5,1933,1993,0,0,0,16.8,83.2,No permafrost,
70403,Pesha at Volokovaya,N. European Russia,2548.00,66.5,48.25,7.1,1966,1993,0,0,0,0,100,No permafrost,
70410,Pechora at Yaksha,N. European Russia,9582.00,61.82,56.85,119,1936,2002,0,0,0,0,100,No permafrost,
70452,Vel'-Yu at Konosh-Yel',N. European Russia,2050.00,63.4,55.8,97.5,1959,1988,0,0,0,0,100,No permafrost,No permafrost
70497,Khoseda-Yu at Khoseda-khard,N. European Russia,2251.00,67.03,59.4,57.5,1958,2000,28.7,31,17,23.3,0,Discontinuous,Isolated
70499,Kolva at Khorey-Ver,N. European Russia,5884.00,67.42,58.07,57.4,1958,2000,11,11.9,44.3,32.8,0,Sporadic,Sporadic
70509,Izhma at Ust'-Ukhta,N. European Russia,15000.00,63.62,53.9,65.6,1913,2002,0,0,0,0,100,No permafrost,No permafrost
70530,Pizhma at Levkinskaya,N. European Russia,2250.00,64.77,51.1,124.9,1957,2000,0,0,0,0,100,No permafrost,No permafrost
70540,Sula at Kotkina,N. European Russia,8395.00,67.03,51.13,8,1936,2001,3.5,7.3,36.6,17.6,35,Sporadic,Sporadic
70542,Ruchey Nyashenny at Kotkina,N. European Russia,35.00,67.03,51.15,16.7,1946,2000,0,0,100,0,0,Sporadic,Sporadic
71035,Titovka at 15.5 km ot ust'ya,N. European Russia,947.00,69.55,36.5,64.2,1953,1994,0,0,30.7,69.3,0,Isolated,No permafrost
71044,Ura at Ura-Guba,N. European Russia,1020.00,69.27,32.8,1.4,1935,1994,0,0,0,0,100,No permafrost,No permafrost
71067,Pecha at Padum,N. European Russia,1600.00,68.56,31.7,23,1936,1994,0,0,0,0,100,No permafrost,No permafrost
71085,Lotta at Kallokosky,N. European Russia,2540.00,68.6,31.01,105.1,1960,1994,0,0,0,0,100,No permafrost,No permafrost
71104,Kola at 1429 km Oktyabr'skoy zh/d,N. European Russia,3780.00,68.83,30.8,23.4,1928,1994,0,0,0,0,100,No permafrost,No permafrost
71139,Nivka at Ust'e,N. European Russia,202.00,68.1,35.1,154.1,1939,1994,0,0,0,0,100,No permafrost,No permafrost
71162,Iokan'ga at Kolm'yavr,N. European Russia,374.00,67.83,36.83,214.1,1952,1994,0,0,47.2,0,52.8,No permafrost,No permafrost
71168,Ponoy at Kanevka,N. European Russia,10231.00,67.13,37.66,124.3,1949,2003,0,0,12.6,12.5,74.9,No permafrost,
71175,Sosnovka at Sosnovka,N. European Russia,268.00,66.48,45.5,15.4,1948,1994,0,0,36.8,63.2,0,Isolated,Isolated
71186,Varzuga at Varzuga,N. European Russia,7940.00,66.4,36.3,8.8,1935,1994,0,0,0,0,100,No permafrost,
71188,Olenitsa at Olenitsa,N. European Russia,374.00,66.48,33.7,7.8,1947,1988,0,0,0,0,100,No permafrost,No permafrost
71192,Kuzreka at Kuzreka,N. European Russia,250.00,66.63,34.8,7.8,1946,1994,0,0,0,0,100,No permafrost,No permafrost
71193,Umba at Istok,N. European Russia,2390.00,67.53,34.28,148.5,1935,1994,0,0,12.5,0,87.5,No permafrost,No permafrost
71199,Umba at Payalka,N. European Russia,6920.00,66.72,33.3,3.5,1936,1994,0,0,0,0,100,No permafrost,
71222,Kolviza at Kolviza,N. European Russia,1260.00,67.08,30.7,35.8,1933,1994,0,0,0,0,100,No permafrost,No permafrost
71241,Yena at Yena,N. European Russia,1564.00,67.56,31.01,151.3,1936,1994,0,0,0,0,100,No permafrost,No permafrost
71258,Monch at Monchegorsk,N. European Russia,1476.00,67.96,32.86,128,1933,1994,0,0,0,1.9,98.1,No permafrost,No permafrost
